dataset,scale,metric,cardinality,dimensionality,index_build_time,k,algorithm,throughput,recall
fashion-mnist,8.0,euclidean,480000,784,4.300076,100,GreedySieve,804.16394,1.0
fashion-mnist,8.0,euclidean,480000,784,4.300076,100,Sieve,227.93768,1.0
fashion-mnist,8.0,euclidean,480000,784,4.300076,100,SieveSepCenter,225.7389,1.0
fashion-mnist,8.0,euclidean,480000,784,4.300076,100,RepeatedRnn,295.3549,1.0
fashion-mnist,8.0,euclidean,480000,784,4.300076,100,Linear,237.8948,1.0
fashion-mnist,8.0,euclidean,480000,784,4.300076,10,GreedySieve,989.64954,1.0
fashion-mnist,8.0,euclidean,480000,784,4.300076,10,Sieve,1179.8134,1.0
fashion-mnist,8.0,euclidean,480000,784,4.300076,10,SieveSepCenter,1061.471,1.0
fashion-mnist,8.0,euclidean,480000,784,4.300076,10,RepeatedRnn,334.327,1.0
fashion-mnist,8.0,euclidean,480000,784,4.300076,10,Linear,245.87465,1.0
glove-25,256.0,cosine,302979584,25,2429.9246,10,GreedySieve,422.5911,1.0
glove-25,256.0,cosine,302979584,25,2429.9246,10,Sieve,363.05908,1.0
glove-25,256.0,cosine,302979584,25,2429.9246,10,SieveSepCenter,284.10202,1.0
glove-25,256.0,cosine,302979584,25,2429.9246,10,RepeatedRnn,221.2267,1.0
glove-25,256.0,cosine,302979584,25,2429.9246,10,Linear,1.9639294,1.0
glove-25,8.0,cosine,9468112,25,70.52474,10,GreedySieve,471.7675,1.0
glove-25,8.0,cosine,9468112,25,70.52474,10,Sieve,428.2612,1.0
glove-25,8.0,cosine,9468112,25,70.52474,10,SieveSepCenter,347.5316,1.0
glove-25,8.0,cosine,9468112,25,70.52474,10,RepeatedRnn,592.6994,1.0
glove-25,8.0,cosine,9468112,25,70.52474,10,Linear,62.824337,1.0
fashion-mnist,4.0,euclidean,240000,784,2.338916,100,GreedySieve,784.80566,1.0
fashion-mnist,4.0,euclidean,240000,784,2.338916,100,Sieve,456.99384,1.0
fashion-mnist,4.0,euclidean,240000,784,2.338916,100,SieveSepCenter,450.1659,1.0
fashion-mnist,4.0,euclidean,240000,784,2.338916,100,RepeatedRnn,346.6099,1.0
fashion-mnist,4.0,euclidean,240000,784,2.338916,100,Linear,481.45966,1.0
sift,64.0,euclidean,64000000,128,497.3597,100,GreedySieve,39.46593,1.0
sift,64.0,euclidean,64000000,128,497.3597,100,Sieve,57.80444,1.0
sift,64.0,euclidean,64000000,128,497.3597,100,SieveSepCenter,28.721424,1.0
